location,description,secs,category,CDNumber,CDName,tracknum,repetitions,start_time
07022163.wav,Domestic clock striking five o'clock. (Domestic clock with Westminster chimes.),41,,EC48P,Domestic Clock: Westminster Chimes,11,5,16.0
07022162.wav,Domestic clock striking four o'clock. (Domestic clock with Westminster chimes.),39,,EC48P,Domestic Clock: Westminster Chimes,10,4,16.0
07022161.wav,Domestic clock striking three o'clock. (Domestic clock with Westminster chimes.),38,,EC48P,Domestic Clock: Westminster Chimes,9,3,16.0
07022160.wav,Domestic clock striking two o'clock. (Domestic clock with Westminster chimes.),36,,EC48P,Domestic Clock: Westminster Chimes,8,2,16.0
07022159.wav,Domestic clock striking one o'clock. (Domestic clock with Westminster chimes.),34,,EC48P,Domestic Clock: Westminster Chimes,7,1,16.0
07022158.wav,Domestic clock striking twelve o'clock. (Domestic clock with Westminster chimes.),55,,EC48P,Domestic Clock: Westminster Chimes,6,12,16.0
07022157.wav,Domestic clock striking eleven o'clock. (Domestic clock with Westminster chimes.),53,,EC48P,Domestic Clock: Westminster Chimes,5,11,16.0
07022156.wav,Domestic clock striking ten o'clock. (Domestic clock with Westminster chimes.),52,,EC48P,Domestic Clock: Westminster Chimes,4,10,16.0
07022155.wav,Domestic clock striking quarter to the hour. (Domestic clock with Westminster chimes.),23,,EC48P,Domestic Clock: Westminster Chimes,3,12,0.0
07022154.wav,Domestic clock striking half past the hour. (Domestic clock with Westminster chimes.),18,,EC48P,Domestic Clock: Westminster Chimes,2,8,0.0
07022153.wav,Domestic clock striking quarter past the hour. (Domestic clock with Westminster chimes.),18,,EC48P,Domestic Clock: Westminster Chimes,1,4,0.0
07022152.wav,Domestic clock striking nine o'clock. (Nineteenth century domestic clock.),22,,EC48N,Domestic Clock (19Th Century),12,9,0.0
07022151.wav,Domestic clock striking eight o'clock. (Nineteenth century domestic clock.),21,,EC48N,Domestic Clock (19Th Century),11,8,0.0
07022150.wav,Domestic clock striking seven o'clock. (Nineteenth century domestic clock.),21,,EC48N,Domestic Clock (19Th Century),10,7,0.0
07022149.wav,Domestic clock striking six o'clock. (Nineteenth century domestic clock.),20,,EC48N,Domestic Clock (19Th Century),9,6,0.0
07022148.wav,Domestic clock striking five o'clock. (Nineteenth century domestic clock.),19,,EC48N,Domestic Clock (19Th Century),8,5,0.0
07022147.wav,Domestic clock striking four o'clock. (Nineteenth century domestic clock.),18,,EC48N,Domestic Clock (19Th Century),7,4,0.0
07022146.wav,Domestic clock striking three o'clock. (Nineteenth century domestic clock.),17,,EC48N,Domestic Clock (19Th Century),6,3,0.0
07022145.wav,Domestic clock striking two o'clock. (Nineteenth century domestic clock.),16,,EC48N,Domestic Clock (19Th Century),5,2,0.0
07022144.wav,Domestic clock striking one o'clock. (Nineteenth century domestic clock.),16,,EC48N,Domestic Clock (19Th Century),4,1,0.0
07022143.wav,Domestic clock striking twelve o'clock. (Nineteenth century domestic clock.),25,,EC48N,Domestic Clock (19Th Century),3,12,0.0
07022142.wav,Domestic clock striking eleven o'clock. (Nineteenth century domestic clock.),24,,EC48N,Domestic Clock (19Th Century),2,11,0.0
07022141.wav,Domestic clock striking ten o'clock. (Nineteenth century domestic clock.),23,,EC48N,Domestic Clock (19Th Century),1,10,0.0
07022140.wav,Domestic clock ticking.,95,,EC48M,Domestic Clock Ticking,8,-1,0.0
07022139.wav,Domestic clock ticking.,96,,EC48M,Domestic Clock Ticking,7,-1,0.0
07022138.wav,Domestic clock ticking.,98,,EC48M,Domestic Clock Ticking,6,-1,0.0
07022137.wav,Domestic clock ticking.,96,,EC48M,Domestic Clock Ticking,5,-1,0.0
07022136.wav,"Domestic clock ticking. (English domestic clock, manufactured 1810.)",121,,EC48M,Domestic Clock Ticking,4,-1,0.0
07022135.wav,"Domestic clock striking nine o'clock. (English domestic clock, manufactured 1810.)",35,,EC48M,Domestic Clock Ticking,3,9,13.0
07022134.wav,"Domestic clock striking eight o'clock. (English domestic clock, manufactured 1810.)",34,,EC48M,Domestic Clock Ticking,2,8,13.0
07022133.wav,"Domestic clock striking seven o'clock. (English domestic clock, manufactured 1810.)",33,,EC48M,Domestic Clock Ticking,1,7,13.0
07022132.wav,"Domestic clock striking six o'clock. (English domestic clock, manufactured 1810.)",32,,EC48L,"Domestic Clock (English, 1810)",12,6,13.0
07022131.wav,"Domestic clock striking five o'clock. (English domestic clock, manufactured 1810.)",30,,EC48L,"Domestic Clock (English, 1810)",11,5,13.0
07022130.wav,"Domestic clock striking four o'clock. (English domestic clock, manufactured 1810.)",29,,EC48L,"Domestic Clock (English, 1810)",10,4,13.0
07022129.wav,"Domestic clock striking three o'clock. (English domestic clock, manufactured 1810.)",28,,EC48L,"Domestic Clock (English, 1810)",9,3,13.0
07022128.wav,"Domestic clock striking two o'clock. (English domestic clock, manufactured 1810.)",27,,EC48L,"Domestic Clock (English, 1810)",8,2,13.0
07022127.wav,"Domestic clock striking one o'clock. (English domestic clock, manufactured 1810.)",26,,EC48L,"Domestic Clock (English, 1810)",7,1,13.0
07022126.wav,"Domestic clock striking twelve o'clock. (English domestic clock, manufactured 1810.)",38,,EC48L,"Domestic Clock (English, 1810)",6,12,13.0
07022125.wav,"Domestic clock striking eleven o'clock. (English domestic clock, manufactured 1810.)",37,,EC48L,"Domestic Clock (English, 1810)",5,11,13.0
07022124.wav,"Domestic clock striking ten o'clock. (English domestic clock, manufactured 1810.)",36,,EC48L,"Domestic Clock (English, 1810)",4,10,13.0
07022123.wav,"Domestic clock striking quarter to the hour. (English domestic clock, manufactured 1810.)",34,,EC48L,"Domestic Clock (English, 1810)",3,-1,0.0
07022122.wav,"Domestic clock striking half past the hour. (English domestic clock, manufactured 1810.)",27,,EC48L,"Domestic Clock (English, 1810)",2,-1,0.0
07022121.wav,"Domestic clock striking quarter past the hour. (English domestic clock, manufactured 1810.)",23,,EC48L,"Domestic Clock (English, 1810)",1,8,0.0
07022120.wav,Domestic clock striking nine o'clock. (Domestic clock with double-strike on wood.),22,,EC48K,Domestic Clock (Double-Strike On Wood),12,18,0.0
07022119.wav,Domestic clock striking eight o'clock. (Domestic clock with double-strike on wood.),20,,EC48K,Domestic Clock (Double-Strike On Wood),11,16,0.0
07022118.wav,Domestic clock striking seven o'clock. (Domestic clock with double-strike on wood.),18,,EC48K,Domestic Clock (Double-Strike On Wood),10,14,0.0
07022117.wav,Domestic clock striking six o'clock. (Domestic clock with double-strike on wood.),16,,EC48K,Domestic Clock (Double-Strike On Wood),9,12,0.0
07022116.wav,Domestic clock striking five o'clock. (Domestic clock with double-strike on wood.),14,,EC48K,Domestic Clock (Double-Strike On Wood),8,10,0.0
07022115.wav,Domestic clock striking four o'clock. (Domestic clock with double-strike on wood.),12,,EC48K,Domestic Clock (Double-Strike On Wood),7,8,0.0
07022114.wav,Domestic clock striking three o'clock. (Domestic clock with double-strike on wood.),10,,EC48K,Domestic Clock (Double-Strike On Wood),6,6,0.0
07022113.wav,Domestic clock striking two o'clock. (Domestic clock with double-strike on wood.),7,,EC48K,Domestic Clock (Double-Strike On Wood),5,4,0.0
07022112.wav,Domestic clock striking one o'clock. (Domestic clock with double-strike on wood.),6,,EC48K,Domestic Clock (Double-Strike On Wood),4,2,0.0
07022111.wav,Domestic clock striking twelve o'clock. (Domestic clock with double-strike on wood.),28,,EC48K,Domestic Clock (Double-Strike On Wood),3,24,0.0
07022110.wav,Domestic clock striking eleven o'clock. (Domestic clock with double-strike on wood.),26,,EC48K,Domestic Clock (Double-Strike On Wood),2,22,0.0
07022109.wav,Domestic clock striking ten o'clock. (Domestic clock with double-strike on wood.),24,,EC48K,Domestic Clock (Double-Strike On Wood),1,20,0.0
07022108.wav,Domestic clock striking nine o'clock. (Domestic clock with heavy double-strike mechanism.),30,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),12,18,0.0
07022107.wav,Domestic clock striking eight o'clock. (Domestic clock with heavy double-strike mechanism.),28,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),11,16,0.0
07022106.wav,Domestic clock striking seven o'clock. (Domestic clock with heavy double-strike mechanism.),26,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),10,14,0.0
07022105.wav,Domestic clock striking six o'clock. (Domestic clock with heavy double-strike mechanism.),25,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),9,12,0.0
07022104.wav,Domestic clock striking five o'clock. (Domestic clock with heavy double-strike mechanism.),23,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),8,10,0.0
07022103.wav,Domestic clock striking four o'clock. (Domestic clock with heavy double-strike mechanism.),20,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),7,8,0.0
07022102.wav,Domestic clock striking three o'clock. (Domestic clock with heavy double-strike mechanism.),19,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),6,6,0.0
07022101.wav,Domestic clock striking two o'clock. (Domestic clock with heavy double-strike mechanism.),17,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),5,4,0.0
07022100.wav,Domestic clock striking one o'clock. (Domestic clock with heavy double-strike mechanism.),15,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),4,2,0.0
07022099.wav,Domestic clock striking twelve o'clock. (Domestic clock with heavy double-strike mechanism.),37,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),3,24,0.0
07022098.wav,Domestic clock striking eleven o'clock. (Domestic clock with heavy double-strike mechanism.),34,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),2,22,0.0
07022097.wav,Domestic clock striking ten o'clock. (Domestic clock with heavy double-strike mechanism.),32,,EC48J,Domestic Clock: Double-Strike (Heavy Mechanism),1,20,0.0
07022096.wav,Domestic clock striking nine o'clock. (Domestic clock with double-strike mechanism.),21,,EC48H,Domestic Clock (Bell: Double-Strike),12,9,0.0
07022095.wav,Domestic clock striking eight o'clock. (Domestic clock with double-strike mechanism.),19,,EC48H,Domestic Clock (Bell: Double-Strike),11,8,0.0
07022094.wav,Domestic clock striking seven o'clock. (Domestic clock with double-strike mechanism.),18,,EC48H,Domestic Clock (Bell: Double-Strike),10,7,0.0
07022093.wav,Domestic clock striking six o'clock. (Domestic clock with double-strike mechanism.),17,,EC48H,Domestic Clock (Bell: Double-Strike),9,6,0.0
07022092.wav,Domestic clock striking five o'clock. (Domestic clock with double-strike mechanism.),16,,EC48H,Domestic Clock (Bell: Double-Strike),8,5,0.0
07022091.wav,Domestic clock striking four o'clock. (Domestic clock with double-strike mechanism.),15,,EC48H,Domestic Clock (Bell: Double-Strike),7,4,0.0
07022090.wav,Domestic clock striking three o'clock. (Domestic clock with double-strike mechanism.),13,,EC48H,Domestic Clock (Bell: Double-Strike),6,3,0.0
07022089.wav,Domestic clock striking two o'clock. (Domestic clock with double-strike mechanism.),12,,EC48H,Domestic Clock (Bell: Double-Strike),5,2,0.0
07022088.wav,Domestic clock striking one o'clock. (Domestic clock with double-strike mechanism.),11,,EC48H,Domestic Clock (Bell: Double-Strike),4,1,0.0
07022087.wav,Domestic clock striking twelve o'clock. (Domestic clock with double-strike mechanism.),24,,EC48H,Domestic Clock (Bell: Double-Strike),3,12,0.0
07022086.wav,Domestic clock striking eleven o'clock. (Domestic clock with double-strike mechanism.),23,,EC48H,Domestic Clock (Bell: Double-Strike),2,11,0.0
07022085.wav,Domestic clock striking ten o'clock. (Domestic clock with double-strike mechanism.),23,,EC48H,Domestic Clock (Bell: Double-Strike),1,10,0.0
07022084.wav,Domestic clock striking nine o'clock. (Domestic clock with heavy gong.),29,,EC48G,Domestic Clock (Heavy Gong),12,9,0.0
07022083.wav,Domestic clock striking eight o'clock. (Domestic clock with heavy gong.),26,,EC48G,Domestic Clock (Heavy Gong),11,8,0.0
07022082.wav,Domestic clock striking seven o'clock. (Domestic clock with heavy gong.),25,,EC48G,Domestic Clock (Heavy Gong),10,7,0.0
07022081.wav,Domestic clock striking six o'clock. (Domestic clock with heavy gong.),23,,EC48G,Domestic Clock (Heavy Gong),9,6,0.0
07022080.wav,Domestic clock striking five o'clock. (Domestic clock with heavy gong.),21,,EC48G,Domestic Clock (Heavy Gong),8,5,0.0
07022079.wav,Domestic clock striking four o'clock. (Domestic clock with heavy gong.),20,,EC48G,Domestic Clock (Heavy Gong),7,4,0.0
07022078.wav,Domestic clock striking three o'clock. (Domestic clock with heavy gong.),17,,EC48G,Domestic Clock (Heavy Gong),6,3,0.0
07022077.wav,Domestic clock striking two o'clock. (Domestic clock with heavy gong.),16,,EC48G,Domestic Clock (Heavy Gong),5,2,0.0
07022076.wav,Domestic clock striking one o'clock. (Domestic clock with heavy gong.),13,,EC48G,Domestic Clock (Heavy Gong),4,1,0.0
07022075.wav,Domestic clock striking twelve o'clock. (Domestic clock with heavy gong.),34,,EC48G,Domestic Clock (Heavy Gong),3,12,0.0
07022074.wav,Domestic clock striking eleven o'clock. (Domestic clock with heavy gong.),32,,EC48G,Domestic Clock (Heavy Gong),2,11,0.0
07022073.wav,Domestic clock striking ten o'clock. (Domestic clock with heavy gong.),31,,EC48G,Domestic Clock (Heavy Gong),1,10,0.0
07022072.wav,Domestic clock striking nine o'clock. (Mid-perspective recording of domestic clock with bell.),24,,EC48F,Domestic Clock (Bell: Mid-Perspective),12,9,0.0
07022071.wav,Domestic clock striking eight o'clock. (Mid-perspective recording of domestic clock with bell.),21,,EC48F,Domestic Clock (Bell: Mid-Perspective),11,8,0.0
07022070.wav,Domestic clock striking seven o'clock. (Mid-perspective recording of domestic clock with bell.),19,,EC48F,Domestic Clock (Bell: Mid-Perspective),10,7,0.0
07022069.wav,Domestic clock striking six o'clock. (Mid-perspective recording of domestic clock with bell.),18,,EC48F,Domestic Clock (Bell: Mid-Perspective),9,6,0.0
07022068.wav,Domestic clock striking five o'clock. (Mid-perspective recording of domestic clock with bell.),16,,EC48F,Domestic Clock (Bell: Mid-Perspective),8,5,0.0
07022067.wav,Domestic clock striking four o'clock. (Mid-perspective recording of domestic clock with bell.),14,,EC48F,Domestic Clock (Bell: Mid-Perspective),7,4,0.0
07022066.wav,Domestic clock striking three o'clock. (Mid-perspective recording of domestic clock with bell.),12,,EC48F,Domestic Clock (Bell: Mid-Perspective),6,3,0.0
07022065.wav,Domestic clock striking two o'clock. (Mid-perspective recording of domestic clock with bell.),11,,EC48F,Domestic Clock (Bell: Mid-Perspective),5,2,0.0
07022064.wav,Domestic clock striking one o'clock. (Mid-perspective recording of domestic clock with bell.),8,,EC48F,Domestic Clock (Bell: Mid-Perspective),4,1,0.0
07022063.wav,Domestic clock striking twelve o'clock. (Mid-perspective recording of domestic clock with bell.),30,,EC48F,Domestic Clock (Bell: Mid-Perspective),3,12,0.0
07022062.wav,Domestic clock striking eleven o'clock. (Mid-perspective recording of domestic clock with bell.),28,,EC48F,Domestic Clock (Bell: Mid-Perspective),2,11,0.0
07022061.wav,Domestic clock striking ten o'clock. (Mid-perspective recording of domestic clock with bell.),27,,EC48F,Domestic Clock (Bell: Mid-Perspective),1,10,0.0
07022060.wav,Domestic clock striking nine o'clock. (Domestic clock with bell.),22,,EC48E,Domestic Clock (Bell),12,9,0.0
07022059.wav,Domestic clock striking eight o'clock. (Domestic clock with bell.),21,,EC48E,Domestic Clock (Bell),11,8,0.0
07022058.wav,Domestic clock striking seven o'clock. (Domestic clock with bell.),20,,EC48E,Domestic Clock (Bell),10,7,0.0
07022057.wav,Domestic clock striking six o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),9,6,0.0
07022056.wav,Domestic clock striking five o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),8,5,0.0
07022055.wav,Domestic clock striking four o'clock. (Domestic clock with bell.),16,,EC48E,Domestic Clock (Bell),7,4,0.0
07022054.wav,Domestic clock striking three o'clock. (Domestic clock with bell.),14,,EC48E,Domestic Clock (Bell),6,3,0.0
07022053.wav,Domestic clock striking two o'clock. (Domestic clock with bell.),13,,EC48E,Domestic Clock (Bell),5,2,0.0
07022052.wav,Domestic clock striking one o'clock. (Domestic clock with bell.),13,,EC48E,Domestic Clock (Bell),4,1,0.0
07022051.wav,Domestic clock striking twelve o'clock. (Domestic clock with bell.),25,,EC48E,Domestic Clock (Bell),3,12,0.0
07022050.wav,Domestic clock striking eleven o'clock. (Domestic clock with bell.),25,,EC48E,Domestic Clock (Bell),2,11,0.0
07022049.wav,Domestic clock striking ten o'clock. (Domestic clock with bell.),25,,EC48E,Domestic Clock (Bell),1,10,0.0
07022048.wav,Domestic clock striking nine o'clock. (Domestic clock with bell & heavy machanism.),31,,EC48D,Domestic Clock (Bell: Heavy Mechanism),12,9,0.0
07022047.wav,Domestic clock striking eight o'clock. (Domestic clock with bell & heavy machanism.),28,,EC48D,Domestic Clock (Bell: Heavy Mechanism),11,8,0.0
07022046.wav,Domestic clock striking seven o'clock. (Domestic clock with bell & heavy machanism.),24,,EC48D,Domestic Clock (Bell: Heavy Mechanism),10,7,0.0
07022045.wav,Domestic clock striking six o'clock. (Domestic clock with bell & heavy machanism.),23,,EC48D,Domestic Clock (Bell: Heavy Mechanism),9,6,0.0
07022044.wav,Domestic clock striking five o'clock. (Domestic clock with bell & heavy machanism.),20,,EC48D,Domestic Clock (Bell: Heavy Mechanism),8,5,0.0
07022043.wav,Domestic clock striking four o'clock. (Domestic clock with bell & heavy machanism.),18,,EC48D,Domestic Clock (Bell: Heavy Mechanism),7,4,0.0
07022042.wav,Domestic clock striking three o'clock. (Domestic clock with bell & heavy machanism.),14,,EC48D,Domestic Clock (Bell: Heavy Mechanism),6,3,0.0
07022041.wav,Domestic clock striking two o'clock. (Domestic clock with bell & heavy machanism.),13,,EC48D,Domestic Clock (Bell: Heavy Mechanism),5,2,0.0
07022040.wav,Domestic clock striking one o'clock. (Domestic clock with bell & heavy machanism.),10,,EC48D,Domestic Clock (Bell: Heavy Mechanism),4,1,0.0
07022039.wav,Domestic clock striking twelve o'clock. (Domestic clock with bell & heavy machanism.),37,,EC48D,Domestic Clock (Bell: Heavy Mechanism),3,12,0.0
07022038.wav,Domestic clock striking eleven o'clock. (Domestic clock with bell & heavy machanism.),34,,EC48D,Domestic Clock (Bell: Heavy Mechanism),2,11,0.0
07022037.wav,Domestic clock striking ten o'clock. (Domestic clock with bell & heavy machanism.),32,,EC48D,Domestic Clock (Bell: Heavy Mechanism),1,10,0.0
07022036.wav,Domestic clock striking nine o'clock. (Domestic clock with bell.),19,,EC48C,Domestic Clock (Bell),12,9,0.0
07022035.wav,Domestic clock striking eight o'clock. (Domestic clock with bell.),18,,EC48C,Domestic Clock (Bell),11,8,0.0
07022034.wav,Domestic clock striking seven o'clock. (Domestic clock with bell.),16,,EC48C,Domestic Clock (Bell),10,7,0.0
07022033.wav,Domestic clock striking six o'clock. (Domestic clock with bell.),15,,EC48C,Domestic Clock (Bell),9,6,0.0
07022032.wav,Domestic clock striking five o'clock. (Domestic clock with bell.),14,,EC48C,Domestic Clock (Bell),8,5,0.0
07022031.wav,Domestic clock striking four o'clock. (Domestic clock with bell.),13,,EC48C,Domestic Clock (Bell),7,4,0.0
07022030.wav,Domestic clock striking three o'clock. (Domestic clock with bell.),11,,EC48C,Domestic Clock (Bell),6,3,0.0
07022029.wav,Domestic clock striking two o'clock. (Domestic clock with bell.),9,,EC48C,Domestic Clock (Bell),5,2,0.0
07022028.wav,Domestic clock striking one o'clock. (Domestic clock with bell.),7,,EC48C,Domestic Clock (Bell),4,1,0.0
07022027.wav,Domestic clock striking twelve o'clock. (Domestic clock with bell.),23,,EC48C,Domestic Clock (Bell),3,12,0.0
07022026.wav,Domestic clock striking eleven o'clock. (Domestic clock with bell.),21,,EC48C,Domestic Clock (Bell),2,11,0.0
07022025.wav,Domestic clock striking ten o'clock. (Domestic clock with bell.),20,,EC48C,Domestic Clock (Bell),1,10,0.0
07022024.wav,Domestic clock striking nine o'clock. (Domestic clock with single-strike mechanism.),30,,EC48B,Domestic Clock,12,9,0.0
07022023.wav,Domestic clock striking eight o'clock. (Domestic clock with single-strike mechanism.),28,,EC48B,Domestic Clock,11,8,0.0
07022022.wav,Domestic clock striking seven o'clock. (Domestic clock with single-strike mechanism.),26,,EC48B,Domestic Clock,10,7,0.0
07022021.wav,Domestic clock striking six o'clock. (Domestic clock with single-strike mechanism.),24,,EC48B,Domestic Clock,9,6,0.0
07022020.wav,Domestic clock striking five o'clock. (Domestic clock with single-strike mechanism.),22,,EC48B,Domestic Clock,8,5,0.0
07022019.wav,Domestic clock striking four o'clock. (Domestic clock with single-strike mechanism.),20,,EC48B,Domestic Clock,7,4,0.0
07022018.wav,Domestic clock striking three o'clock. (Domestic clock with single-strike mechanism.),16,,EC48B,Domestic Clock,6,3,0.0
07022017.wav,Domestic clock striking two o'clock. (Domestic clock with single-strike mechanism.),16,,EC48B,Domestic Clock,5,2,0.0
07022016.wav,Domestic clock striking one o'clock. (Domestic clock with single-strike mechanism.),13,,EC48B,Domestic Clock,4,1,0.0
07022015.wav,Domestic clock striking twelve o'clock. (Domestic clock with single-strike mechanism.),38,,EC48B,Domestic Clock,3,12,0.0
07022014.wav,Domestic clock striking eleven o'clock. (Domestic clock with single-strike mechanism.),35,,EC48B,Domestic Clock,2,11,0.0
07022013.wav,Domestic clock striking ten o'clock. (Domestic clock with single-strike mechanism.),33,,EC48B,Domestic Clock,1,10,0.0
07022012.wav,Domestic clock striking nine o'clock. (Domestic clock with double-strike mechanism.),35,,EC48A,Domestic Clock: Double-Strike,12,18,0.0
07022011.wav,Domestic clock striking eight o'clock. (Domestic clock with double-strike mechanism.),32,,EC48A,Domestic Clock: Double-Strike,11,16,0.0
07022010.wav,Domestic clock striking seven o'clock. (Domestic clock with double-strike mechanism.),30,,EC48A,Domestic Clock: Double-Strike,10,14,0.0
07022009.wav,Domestic clock striking six o'clock. (Domestic clock with double-strike mechanism.),37,,EC48A,Domestic Clock: Double-Strike,9,12,0.0
07022008.wav,Domestic clock striking five o'clock. (Domestic clock with double-strike mechanism.),27,,EC48A,Domestic Clock: Double-Strike,8,10,0.0
07022007.wav,Domestic clock striking four o'clock. (Domestic clock with double-strike mechanism.),23,,EC48A,Domestic Clock: Double-Strike,7,8,0.0
07022006.wav,Domestic clock striking three o'clock. (Domestic clock with double-strike mechanism.),20,,EC48A,Domestic Clock: Double-Strike,6,6,0.0
07022005.wav,Domestic clock striking two o'clock. (Domestic clock with double-strike mechanism.),18,,EC48A,Domestic Clock: Double-Strike,5,4,0.0
07022004.wav,Domestic clock striking one o'clock. (Domestic clock with double-strike mechanism.),15,,EC48A,Domestic Clock: Double-Strike,4,2,0.0
07022003.wav,Domestic clock striking twelve o'clock. (Domestic clock with double-strike mechanism.),43,,EC48A,Domestic Clock: Double-Strike,3,24,0.0
07022002.wav,Domestic clock striking eleven o'clock. (Domestic clock with double-strike mechanism.),40,,EC48A,Domestic Clock: Double-Strike,2,22,0.0
07022001.wav,Domestic clock striking ten o'clock. (Domestic clock with double-strike mechanism.),37,,EC48A,Domestic Clock: Double-Strike,1,20,0.0
07016234.wav,"Big Tom, bell in Christchurch College clock, striking 101 times.",291,,EC36X,"Christchurch College Clock, Oxford",5,101,0.0
07016233.wav,Christchurch College clock striking twelve o'clock.,66,,EC36X,"Christchurch College Clock, Oxford",4,12,0.0
07016232.wav,Christchurch College clock striking eleven o'clock.,62,,EC36X,"Christchurch College Clock, Oxford",3,11,0.0
07016231.wav,Christchurch College clock striking ten o'clock.,58,,EC36X,"Christchurch College Clock, Oxford",2,10,0.0
07016230.wav,Christchurch College clock striking nine o'clock.,55,,EC36X,"Christchurch College Clock, Oxford",1,9,0.0
07016229.wav,Christchurch College clock striking eight o'clock.,51,,EC36W,"Christchurch College Clock, Oxford",11,8,0.0
07016228.wav,Christchurch College clock striking seven o'clock.,48,,EC36W,"Christchurch College Clock, Oxford",10,7,0.0
07016227.wav,Christchurch College clock striking six o'clock.,44,,EC36W,"Christchurch College Clock, Oxford",9,6,0.0
07016226.wav,Christchurch College clock striking five o'clock.,40,,EC36W,"Christchurch College Clock, Oxford",8,5,0.0
07016225.wav,Christchurch College clock striking four o'clock.,37,,EC36W,"Christchurch College Clock, Oxford",7,4,0.0
07016224.wav,Christchurch College clock striking three o'clock.,33,,EC36W,"Christchurch College Clock, Oxford",6,3,0.0
07016223.wav,Christchurch College clock striking two o'clock.,29,,EC36W,"Christchurch College Clock, Oxford",5,2,0.0
07016222.wav,Christchurch College clock striking one o'clock.,31,,EC36W,"Christchurch College Clock, Oxford",4,1,0.0
07016221.wav,New College clock striking twelve o'clock.,61,,EC36W,"Christchurch College Clock, Oxford",3,12,10.0
07016220.wav,New College clock striking eleven o'clock.,58,,EC36W,"Christchurch College Clock, Oxford",2,11,10.0
07016219.wav,New College clock striking ten o'clock.,56,,EC36W,"Christchurch College Clock, Oxford",1,10,10.0
07016218.wav,New College clock striking nine o'clock.,54,,EC36V,"New College Clock, Oxford",12,9,10.0
07016217.wav,New College clock striking eight o'clock.,54,,EC36V,"New College Clock, Oxford",11,8,10.0
07016216.wav,New College clock striking seven o'clock.,52,,EC36V,"New College Clock, Oxford",10,7,10.0
07016215.wav,New College clock striking six o'clock.,49,,EC36V,"New College Clock, Oxford",9,6,10.0
07016214.wav,New College clock striking five o'clock.,47,,EC36V,"New College Clock, Oxford",8,5,10.0
07016213.wav,New College clock striking four o'clock.,45,,EC36V,"New College Clock, Oxford",7,4,10.0
07016212.wav,New College clock striking three o'clock.,43,,EC36V,"New College Clock, Oxford",6,3,10.0
07016211.wav,New College clock striking two o'clock.,41,,EC36V,"New College Clock, Oxford",5,2,10.0
07016210.wav,New College clock striking one o'clock.,35,,EC36V,"New College Clock, Oxford",4,1,10.0
07016209.wav,New College clock striking quarter to the hour.,25,,EC36V,"New College Clock, Oxford",3,6,0.0
07016208.wav,New College clock striking half past the hour.,22,,EC36V,"New College Clock, Oxford",2,4,0.0
07016207.wav,New College clock striking quarter past the hour.,19,,EC36V,"New College Clock, Oxford",1,2,0.0
07016206.wav,Balliol College clock striking twelve o'clock.,38,,EC36U,"Balliol College Clock, Oxford",12,12,0.0
07016205.wav,Balliol College clock striking eleven o'clock.,36,,EC36U,"Balliol College Clock, Oxford",11,11,0.0
07016204.wav,Balliol College clock striking ten o'clock.,34,,EC36U,"Balliol College Clock, Oxford",10,10,0.0
07016203.wav,Balliol College clock striking nine o'clock.,30,,EC36U,"Balliol College Clock, Oxford",9,9,0.0
07016202.wav,Balliol College clock striking eight o'clock.,29,,EC36U,"Balliol College Clock, Oxford",8,8,0.0
07016201.wav,Balliol College clock striking seven o'clock.,27,,EC36U,"Balliol College Clock, Oxford",7,7,0.0
07016200.wav,Balliol College clock striking six o'clock.,25,,EC36U,"Balliol College Clock, Oxford",6,6,0.0
07016199.wav,Balliol College clock striking five o'clock.,24,,EC36U,"Balliol College Clock, Oxford",5,5,0.0
07016198.wav,Balliol College clock striking four o'clock.,21,,EC36U,"Balliol College Clock, Oxford",4,4,0.0
07016197.wav,Balliol College clock striking three o'clock.,20,,EC36U,"Balliol College Clock, Oxford",3,3,0.0
07016196.wav,Balliol College clock striking two o'clock.,16,,EC36U,"Balliol College Clock, Oxford",2,2,0.0
07016195.wav,Balliol College clock striking one o'clock.,14,,EC36U,"Balliol College Clock, Oxford",1,1,0.0
07016194.wav,Trinity & St John's College clock striking twelve o'clock. (Trinity clock strikes a second time for St. John's College.),65,,EC36T,"Trinity & St. John’S College Clock, Cambridge",12,12,30.0
07016193.wav,Trinity & St John's College clock striking eleven o'clock. (Trinity clock strikes a second time for St. John's College.),61,,EC36T,"Trinity & St. John’S College Clock, Cambridge",11,11,27.5
07016192.wav,Trinity & St John's College clock striking ten o'clock. (Trinity clock strikes a second time for St. John's College.),57,,EC36T,"Trinity & St. John’S College Clock, Cambridge",10,10,26.0
